       ×´Ì¬Õ»                                                                ·ûºÅÕ»                                                                                                                                                                                                                                                                                   ÊäÈë´®                                                                                                                                                                                                                                                                                                                                                                                                         ACTION 
(1)   0                                                                     $                                                                                                                                                                                                                                                                                       const ident = number ; var ident , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                             mov                                                                                                                                                                                                                                                       
(2)   0 4                                                                   $ const                                                                                                                                                                                                                                                                                 ident = number ; var ident , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                   mov                                                                                                                                                                                                                                                       
(3)   0 4 9                                                                 $ const ident                                                                                                                                                                                                                                                                           = number ; var ident , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                         mov                                                                                                                                                                                                                                                       
(4)   0 4 9 15                                                              $ const ident =                                                                                                                                                                                                                                                                         number ; var ident , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                           mov                                                                                                                                                                                                                                                       
(5)   0 4 9 15 26                                                           $ const ident = number                                                                                                                                                                                                                                                                  ; var ident , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                  const-assignment-list ¡ú ident = number                                                                                                                                                                                                                   
(6)   0 4 8                                                                 $ const const-assignment-list                                                                                                                                                                                                                                                           ; var ident , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                  mov                                                                                                                                                                                                                                                       
(7)   0 4 8 13                                                              $ const const-assignment-list ;                                                                                                                                                                                                                                                         var ident , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                    const-decl ¡ú const const-assignment-list ;                                                                                                                                                                                                               
(8)   0 3                                                                   $ const-decl                                                                                                                                                                                                                                                                            var ident , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                    mov                                                                                                                                                                                                                                                       
(9)   0 3 7                                                                 $ const-decl var                                                                                                                                                                                                                                                                        ident , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                        mov                                                                                                                                                                                                                                                       
(10)  0 3 7 11                                                              $ const-decl var ident                                                                                                                                                                                                                                                                  , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                              ident-list ¡ú ident                                                                                                                                                                                                                                       
(11)  0 3 7 12                                                              $ const-decl var ident-list                                                                                                                                                                                                                                                             , ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                              mov                                                                                                                                                                                                                                                       
(12)  0 3 7 12 24                                                           $ const-decl var ident-list ,                                                                                                                                                                                                                                                           ident ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                mov                                                                                                                                                                                                                                                       
(13)  0 3 7 12 24 51                                                        $ const-decl var ident-list , ident                                                                                                                                                                                                                                                     ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                      ident-list ¡ú ident-list , ident                                                                                                                                                                                                                          
(14)  0 3 7 12                                                              $ const-decl var ident-list                                                                                                                                                                                                                                                             ; begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                      mov                                                                                                                                                                                                                                                       
(15)  0 3 7 12 23                                                           $ const-decl var ident-list ;                                                                                                                                                                                                                                                           begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                        var-decl ¡ú var ident-list ;                                                                                                                                                                                                                              
(16)  0 3 6                                                                 $ const-decl var-decl                                                                                                                                                                                                                                                                   begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                        proc-decl ¡ú ¦Å                                                                                                                                                                                                                                           
(17)  0 3 6 10                                                              $ const-decl var-decl proc-decl                                                                                                                                                                                                                                                         begin ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                        mov                                                                                                                                                                                                                                                       
(18)  0 3 6 10 20                                                           $ const-decl var-decl proc-decl begin                                                                                                                                                                                                                                                   ident := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                              mov                                                                                                                                                                                                                                                       
(19)  0 3 6 10 20 31                                                        $ const-decl var-decl proc-decl begin ident                                                                                                                                                                                                                                             := number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                    mov                                                                                                                                                                                                                                                       
(20)  0 3 6 10 20 31 61                                                     $ const-decl var-decl proc-decl begin ident :=                                                                                                                                                                                                                                          number * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                       mov                                                                                                                                                                                                                                                       
(21)  0 3 6 10 20 31 61 113                                                 $ const-decl var-decl proc-decl begin ident := number                                                                                                                                                                                                                                   * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                              factor ¡ú number                                                                                                                                                                                                                                          
(22)  0 3 6 10 20 31 61 117                                                 $ const-decl var-decl proc-decl begin ident := factor                                                                                                                                                                                                                                   * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                              term ¡ú factor                                                                                                                                                                                                                                            
(23)  0 3 6 10 20 31 61 115                                                 $ const-decl var-decl proc-decl begin ident := term                                                                                                                                                                                                                                     * ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                              mov                                                                                                                                                                                                                                                       
(24)  0 3 6 10 20 31 61 115 85                                              $ const-decl var-decl proc-decl begin ident := term *                                                                                                                                                                                                                                   ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                multiplying-operator ¡ú *                                                                                                                                                                                                                                 
(25)  0 3 6 10 20 31 61 115 150                                             $ const-decl var-decl proc-decl begin ident := term multiplying-operator                                                                                                                                                                                                                ident ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                mov                                                                                                                                                                                                                                                       
(26)  0 3 6 10 20 31 61 115 150 112                                         $ const-decl var-decl proc-decl begin ident := term multiplying-operator ident                                                                                                                                                                                                          ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                      factor ¡ú ident                                                                                                                                                                                                                                           
(27)  0 3 6 10 20 31 61 115 150 168                                         $ const-decl var-decl proc-decl begin ident := term multiplying-operator factor                                                                                                                                                                                                         ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                      term ¡ú term multiplying-operator factor                                                                                                                                                                                                                  
(28)  0 3 6 10 20 31 61 115                                                 $ const-decl var-decl proc-decl begin ident := term                                                                                                                                                                                                                                     ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                      expression ¡ú term                                                                                                                                                                                                                                        
(29)  0 3 6 10 20 31 61 114                                                 $ const-decl var-decl proc-decl begin ident := expression                                                                                                                                                                                                                               ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                      statement ¡ú ident := expression                                                                                                                                                                                                                          
(30)  0 3 6 10 20 30                                                        $ const-decl var-decl proc-decl begin statement                                                                                                                                                                                                                                         ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                      statement-list ¡ú statement                                                                                                                                                                                                                               
(31)  0 3 6 10 20 34                                                        $ const-decl var-decl proc-decl begin statement-list                                                                                                                                                                                                                                    ; ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                      mov                                                                                                                                                                                                                                                       
(32)  0 3 6 10 20 34 64                                                     $ const-decl var-decl proc-decl begin statement-list ;                                                                                                                                                                                                                                  ident := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                        mov                                                                                                                                                                                                                                                       
(33)  0 3 6 10 20 34 64 31                                                  $ const-decl var-decl proc-decl begin statement-list ; ident                                                                                                                                                                                                                            := ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                              mov                                                                                                                                                                                                                                                       
(34)  0 3 6 10 20 34 64 31 61                                               $ const-decl var-decl proc-decl begin statement-list ; ident :=                                                                                                                                                                                                                         ident * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                 mov                                                                                                                                                                                                                                                       
(35)  0 3 6 10 20 34 64 31 61 112                                           $ const-decl var-decl proc-decl begin statement-list ; ident := ident                                                                                                                                                                                                                   * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                       factor ¡ú ident                                                                                                                                                                                                                                           
(36)  0 3 6 10 20 34 64 31 61 117                                           $ const-decl var-decl proc-decl begin statement-list ; ident := factor                                                                                                                                                                                                                  * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                       term ¡ú factor                                                                                                                                                                                                                                            
(37)  0 3 6 10 20 34 64 31 61 115                                           $ const-decl var-decl proc-decl begin statement-list ; ident := term                                                                                                                                                                                                                    * ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                       mov                                                                                                                                                                                                                                                       
(38)  0 3 6 10 20 34 64 31 61 115 85                                        $ const-decl var-decl proc-decl begin statement-list ; ident := term *                                                                                                                                                                                                                  ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                         multiplying-operator ¡ú *                                                                                                                                                                                                                                 
(39)  0 3 6 10 20 34 64 31 61 115 150                                       $ const-decl var-decl proc-decl begin statement-list ; ident := term multiplying-operator                                                                                                                                                                                               ident * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                         mov                                                                                                                                                                                                                                                       
(40)  0 3 6 10 20 34 64 31 61 115 150 112                                   $ const-decl var-decl proc-decl begin statement-list ; ident := term multiplying-operator ident                                                                                                                                                                                         * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                               factor ¡ú ident                                                                                                                                                                                                                                           
(41)  0 3 6 10 20 34 64 31 61 115 150 168                                   $ const-decl var-decl proc-decl begin statement-list ; ident := term multiplying-operator factor                                                                                                                                                                                        * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                               term ¡ú term multiplying-operator factor                                                                                                                                                                                                                  
(42)  0 3 6 10 20 34 64 31 61 115                                           $ const-decl var-decl proc-decl begin statement-list ; ident := term                                                                                                                                                                                                                    * ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                               mov                                                                                                                                                                                                                                                       
(43)  0 3 6 10 20 34 64 31 61 115 85                                        $ const-decl var-decl proc-decl begin statement-list ; ident := term *                                                                                                                                                                                                                  ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                                 multiplying-operator ¡ú *                                                                                                                                                                                                                                 
(44)  0 3 6 10 20 34 64 31 61 115 150                                       $ const-decl var-decl proc-decl begin statement-list ; ident := term multiplying-operator                                                                                                                                                                                               ident ; end . $                                                                                                                                                                                                                                                                                                                                                                                                 mov                                                                                                                                                                                                                                                       
(45)  0 3 6 10 20 34 64 31 61 115 150 112                                   $ const-decl var-decl proc-decl begin statement-list ; ident := term multiplying-operator ident                                                                                                                                                                                         ; end . $                                                                                                                                                                                                                                                                                                                                                                                                       factor ¡ú ident                                                                                                                                                                                                                                           
(46)  0 3 6 10 20 34 64 31 61 115 150 168                                   $ const-decl var-decl proc-decl begin statement-list ; ident := term multiplying-operator factor                                                                                                                                                                                        ; end . $                                                                                                                                                                                                                                                                                                                                                                                                       term ¡ú term multiplying-operator factor                                                                                                                                                                                                                  
(47)  0 3 6 10 20 34 64 31 61 115                                           $ const-decl var-decl proc-decl begin statement-list ; ident := term                                                                                                                                                                                                                    ; end . $                                                                                                                                                                                                                                                                                                                                                                                                       expression ¡ú term                                                                                                                                                                                                                                        
(48)  0 3 6 10 20 34 64 31 61 114                                           $ const-decl var-decl proc-decl begin statement-list ; ident := expression                                                                                                                                                                                                              ; end . $                                                                                                                                                                                                                                                                                                                                                                                                       statement ¡ú ident := expression                                                                                                                                                                                                                          
(49)  0 3 6 10 20 34 64 120                                                 $ const-decl var-decl proc-decl begin statement-list ; statement                                                                                                                                                                                                                        ; end . $                                                                                                                                                                                                                                                                                                                                                                                                       statement-list ¡ú statement-list ; statement                                                                                                                                                                                                              
(50)  0 3 6 10 20 34                                                        $ const-decl var-decl proc-decl begin statement-list                                                                                                                                                                                                                                    ; end . $                                                                                                                                                                                                                                                                                                                                                                                                       mov                                                                                                                                                                                                                                                       
(51)  0 3 6 10 20 34 64                                                     $ const-decl var-decl proc-decl begin statement-list ;                                                                                                                                                                                                                                  end . $                                                                                                                                                                                                                                                                                                                                                                                                         statement ¡ú ¦Å                                                                                                                                                                                                                                           
(52)  0 3 6 10 20 34 64 120                                                 $ const-decl var-decl proc-decl begin statement-list ; statement                                                                                                                                                                                                                        end . $                                                                                                                                                                                                                                                                                                                                                                                                         statement-list ¡ú statement-list ; statement                                                                                                                                                                                                              
(53)  0 3 6 10 20 34                                                        $ const-decl var-decl proc-decl begin statement-list                                                                                                                                                                                                                                    end . $                                                                                                                                                                                                                                                                                                                                                                                                         mov                                                                                                                                                                                                                                                       
(54)  0 3 6 10 20 34 65                                                     $ const-decl var-decl proc-decl begin statement-list end                                                                                                                                                                                                                                . $                                                                                                                                                                                                                                                                                                                                                                                                             statement ¡ú begin statement-list end                                                                                                                                                                                                                     
(55)  0 3 6 10 16                                                           $ const-decl var-decl proc-decl statement                                                                                                                                                                                                                                               . $                                                                                                                                                                                                                                                                                                                                                                                                             block ¡ú const-decl var-decl proc-decl statement                                                                                                                                                                                                          
(56)  0 2                                                                   $ block                                                                                                                                                                                                                                                                                 . $                                                                                                                                                                                                                                                                                                                                                                                                             mov                                                                                                                                                                                                                                                       
(57)  0 2 5                                                                 $ block .                                                                                                                                                                                                                                                                               $                                                                                                                                                                                                                                                                                                                                                                                                               program ¡ú block .                                                                                                                                                                                                                                        
(58)  0 1                                                                   $ program                                                                                                                                                                                                                                                                               $                                                                                                                                                                                                                                                                                                                                                                                                               acc                                                                                                                                                                                                                                                       
